,brand_id,name,calories_per_gram,seventy,coefficient,external_url
,1,インドア(室内で生活する猫専用フード 成猫用),3.74,77.85,0.71,https://shop.royalcanin.jp/%E3%82%A4%E3%83%B3%E3%83%89%E3%82%A2%EF%BC%88%E5%AE%A4%E5%86%85%E3%81%A7%E7%94%9F%E6%B4%BB%E3%81%99%E3%82%8B%E7%8C%AB%E5%B0%82%E7%94%A8%E3%83%95%E3%83%BC%E3%83%89-%E6%88%90%E7%8C%AB%E7%94%A8%EF%BC%89-2529
,1,インドア ロングヘアー(室内で生活する長毛の猫専用フード 成猫用),3.82,78.37,0.734,https://shop.royalcanin.jp/%E3%82%A4%E3%83%B3%E3%83%89%E3%82%A2-%E3%83%AD%E3%83%B3%E3%82%B0%E3%83%98%E3%82%A2%E3%83%BC%EF%BC%88%E5%AE%A4%E5%86%85%E3%81%A7%E7%94%9F%E6%B4%BB%E3%81%99%E3%82%8B%E9%95%B7%E6%AF%9B%E3%81%AE%E7%8C%AB%E5%B0%82%E7%94%A8%E3%83%95%E3%83%BC%E3%83%89-%E6%88%90%E7%8C%AB%E7%94%A8%EF%BC%89-2549
,2,キャットスマックかつお味,3.3,99.19,0.647,https://www.smack.co.jp/cat_food/catsmack_2kg.html#food_01
,2,キャットスマックまぐろ味,3.3,99.19,0.647,https://www.smack.co.jp/cat_food/catsmack_2kg.html#food_02
,3,プロフェッショナーレ インドア,3.84,70.6,0.71,https://www.elmo-pet.com/food_lineup/Professionale/Indoor.html
,1,消化器サポートドライ,4.10,76.1,0.73,https://www.royalcanin.com/jp/cats/products/vet-products/gastrointestinal-3905
,1,ユリナリーS/Oドライ,3.87,78.13,0.709,https://www.royalcanin.com/jp/cats/products/vet-products/urinary-so-3901
,1,ユリナリーS/Oオルファクトリードライ,3.86,83.55,0.723,https://www.royalcanin.com/jp/cats/products/vet-products/urinary-so-olfactory-attraction-3944
,4,プリスクリプション・ダイエット c/dマルチケア チキンドライ,3.89,85.76,0.732,https://www.hills.co.jp/cat-food/pd-cd-multicare-feline-with-chicken-dry?lightboxfired=true
,4,プリスクリプション・ダイエット c/dマルチケア コンフォート チキンドライ,3.87,82.22,0.76,https://www.hills.co.jp/cat-food/pd-cd-multicare-feline-stress-dry